country_name,ECI,ECI rank,GDP,GDP rank,GDP growth,GDP growth rank,GDP PC,GDP PC rank,GDP PC growth,GDP PC growth rank
Japan, ECI 2.19,Rnk 1 / 127,$5.06T,Rnk 3 / 195,-12.2%,Rnk 180 / 195,"$40,193",Rnk 25 / 195,-10.6%,Rnk 161 / 195
United states, ECI 1.56,Rnk 9 / 127,$21T,Rnk 1 / 195,39.8%,Rnk 78 / 195,"$63,593",Rnk 8 / 195,31.2%,Rnk 57 / 195
China, ECI 0.96,Rnk 28 / 127,$14.7T,Rnk 2 / 195,142%,Rnk 5 / 195,"$10,435",Rnk 68 / 195,129%,Rnk 5 / 195
Germany, ECI 1.88,Rnk 4 / 127,$3.85T,Rnk 4 / 195,13.3%,Rnk 133 / 195,"$46,208",Rnk 19 / 195,11.3%,Rnk 107 / 195
France, ECI 1.34,Rnk 15 / 127,$2.63T,Rnk 7 / 195,-0.47%,Rnk 160 / 195,"$39,030",Rnk 27 / 195,-3.96%,Rnk 149 / 195
Italy, ECI 1.3,Rnk 19 / 127,$1.89T,Rnk 8 / 195,-11.5%,Rnk 179 / 195,"$31,714",Rnk 31 / 195,-11.9%,Rnk 166 / 195
Canada, ECI 0.93,Rnk 29 / 127,$1.65T,Rnk 9 / 195,1.74%,Rnk 155 / 195,"$43,295",Rnk 22 / 195,-8.97%,Rnk 157 / 195
South Korea, ECI 1.88,Rnk 5 / 127,$1.64T,Rnk 10 / 195,43.2%,Rnk 69 / 195,"$31,631",Rnk 32 / 195,37%,Rnk 45 / 195
Russia, ECI 0.5,Rnk 43 / 127,$1.48T,Rnk 11 / 195,-2.72%,Rnk 164 / 195,"$10,127",Rnk 70 / 195,-5.14%,Rnk 154 / 195
Brazil, ECI 0.44,Rnk 47 / 127,$1.44T,Rnk 12 / 195,-34.6%,Rnk 190 / 195,"$6,797",Rnk 91 / 195,-39.8%,Rnk 187 / 195
Australia, ECI -0.31,Rnk 74 / 127,$1.33T,Rnk 13 / 195,15.7%,Rnk 128 / 195,"$51,693",Rnk 14 / 195,-0.76%,Rnk 142 / 195
Spain, ECI 0.76,Rnk 34 / 127,$1.28T,Rnk 14 / 195,-9.8%,Rnk 174 / 195,"$27,063",Rnk 36 / 195,-11.3%,Rnk 164 / 195
Indonesia, ECI -0.093,Rnk 64 / 127,$1.06T,Rnk 16 / 195,40.2%,Rnk 76 / 195,"$3,870",Rnk 121 / 195,23.9%,Rnk 78 / 195
India, ECI 0.56,Rnk 40 / 127,$2.66T,Rnk 6 / 195,58.8%,Rnk 46 / 195,"$1,928",Rnk 150 / 195,42%,Rnk 38 / 195
