country_1,country_2,exports($),exports rank,top product exported,imports($),imports rank,top product imported,top product export($),top product import($),1_gdp,2_gdp,1_gdpgrowth,2_gdpgrowth
Japan,United states,1.771224483340398,Rnk 2 / 213,2,0.7689452776287878,Rnk 4 / 218,28,3.4736818463835557,0.15611353982421186,5,21,0,0
Japan,China,2.201651136099985,Rnk 1 / 213,2,2.570588267036774,Rnk 3 / 209,6,0.5785313811261026,1.0046929741845323,5,14,0,1
Japan,Germany,-0.1533975497131847,Rnk 7 / 213,2,-0.12060313807435899,Rnk 19 / 220,2,-0.25211404721626995,-0.023814477776543764,5,3,0,0
Japan,France,-0.4112436112234517,Rnk 22 / 213,2,-0.38787759293078833,Rnk 13 / 217,31,-0.3906356754996044,-0.385615680735901,5,2,0,0
Japan,Italy,-0.44219333720759346,Rnk 26 / 213,2,-0.3532384956372787,Rnk 13 / 213,36,-0.3847024938685874,-0.29249077432902343,5,1,0,0
Japan,Canada,-0.35754276216487463,Rnk 18 / 213,2,-0.33089730270832873,Rnk 4 / 217,30,-0.14192638835452667,-0.3435514279724811,5,1,0,0
Japan,South Korea,0.35491583068861354,Rnk 3 / 213,29,-0.009921998793322296,Rnk 5 / 218,40,-0.14192638835452667,-0.13201443430672788,5,1,0,0
Japan,Russia,-0.40898899542328243,Rnk 21 / 213,2,-0.33335688358124066,Rnk 11 / 187,28,-0.26664428794529105,-0.19766384613403062,5,1,0,0
Japan,Brazil,-0.44690753388067467,Rnk 27 / 213,19,-0.43768410560725485,Rnk 7 / 223,15,-0.39826405188234043,-0.3578970401865954,5,1,0,0
Japan,Australia,-0.27432694263135443,Rnk 10 / 213,2,0.12740459994426026,Rnk 2 / 211,28,0.20922109593014976,0.8709626908326193,5,1,0,0
Japan,Spain,-0.47293809811899257,Rnk 30 / 213,2,-0.46494446028202874,Rnk 15 / 218,30,-0.3620595353991962,-0.40470263935976497,5,1,0,0
Japan,Indonesia,-0.334996604163182,Rnk 16 / 213,19,-0.2292346266279691,Rnk 3 / 213,3,1.2699286691486895,-0.24143012068556577,5,1,0,0
Japan,India,-0.33294695343575537,Rnk 15 / 213,39,-0.4350195596616003,Rnk 19 / 218,40,-0.3775584588434854,-0.4107812886030337,5,2,0,0
United states,Japan,0.768945277628788,Rnk 4 / 218,28,1.7712244833403978,Rnk 2 / 213,2,0.14625671943772503,3.4969391639247283,21,5,0,0
United states,China,1.9761895560830587,Rnk 3 / 218,44,8.453085854751132,Rnk 1 / 209,6,1.209385999444435,5.478578817230348,21,14,0,1
United states,Germany,0.6890088992591503,Rnk 5 / 218,2,1.853210512437462,Rnk 1 / 220,2,0.30851107424512725,1.3694119287806585,21,3,0,0
United states,France,-0.04066675970472138,Rnk 14 / 218,11,0.22783748558816394,Rnk 2 / 217,25,-0.21336673860554703,0.024814716169606402,21,2,0,0
United states,Italy,-0.1513478989857581,Rnk 18 / 218,7,0.45739836705994374,Rnk 3 / 213,25,-0.20973417842329176,0.02238325647229884,21,1,0,0
United states,Canada,3.9438542544126003,Rnk 1 / 218,2,4.886693589028838,Rnk 1 / 217,7,0.809804379396355,5.053073370201534,21,1,0,0
United states,South Korea,0.5701291570684072,Rnk 6 / 218,2,1.0128537141925538,Rnk 2 / 218,7,0.11719623797968283,1.4909849136460342,21,1,0,0
United states,Russia,-0.40796417005956914,Rnk 35 / 218,2,-0.2804758948136342,Rnk 10 / 187,40,-0.3952369183971277,0.09532704739152414,21,1,0,0
United states,Brazil,0.07616333175859515,Rnk 9 / 218,40,-0.07551082207097368,Rnk 2 / 223,42,0.2455466977527025,-0.27911774599383216,21,1,0,0
United states,Australia,-0.028368855340161748,Rnk 13 / 218,12,-0.28662484699591406,Rnk 4 / 211,31,-0.2896505024329078,-0.13201443430672788,21,1,0,0
United states,Spain,-0.24358218171995535,Rnk 20 / 218,25,-0.2312842773553957,Rnk 6 / 218,40,-0.2472706336399296,-0.37588984194667097,21,1,0,0
United states,Indonesia,-0.36881584116572097,Rnk 30 / 218,28,-0.1226527888017856,Rnk 2 / 213,8,-0.36629752227849405,-0.3435514279724811,21,1,0,0
United states,India,0.02082276211807679,Rnk 11 / 218,7,0.49429208015362264,Rnk 1 / 218,25,0.025171380029215908,0.41627972743611524,21,2,0,0
China,Japan,2.5705882670367743,Rnk 3 / 209,6,2.201651136099985,Rnk 1 / 213,2,0.9914323885091186,0.5901290957936022,14,5,1,0
China,United states,8.453085854751134,Rnk 1 / 209,6,1.9761895560830582,Rnk 3 / 218,44,5.447372878742254,1.2235243469422081,14,21,1,0
China,Germany,1.771224483340398,Rnk 4 / 209,2,1.6482454396948014,Rnk 2 / 220,1,1.0519750582133731,1.5639287045652592,14,3,1,0
China,France,0.28112840450125576,Rnk 20 / 209,31,-0.1226527888017856,Rnk 7 / 217,23,0.09297917009798101,-0.24386158038287328,14,2,1,0
China,Italy,0.21144027976875113,Rnk 22 / 209,23,-0.21898637299083606,Rnk 8 / 213,25,-0.09954651956154847,-0.3465907525941155,14,1,1,0
